id,name,destination,x_mm,y_mm,z_mm,order,weight_kg,fragile,rot_xy,posX,posY,posZ,rotation,loadOrder
XM01-962,玩具,埼玉県さいたま市,286,213,24,740,0.3,false,true,1600,600,0,0,60
XM02-486,衣類,東京都品川区,232,133,22,795,0.2,false,true,0,500,0,0,61
XM02-095,工具,東京都品川区,232,133,22,751,0.2,false,true,500,500,0,0,62
XM01-023,スポーツ用品,神奈川県横浜市,286,213,24,639,0.4,false,false,1300,400,0,0,63
XM01-029,衣類,東京都港区,286,213,24,590,0.5,false,true,1000,300,0,0,64
XM02-012,飲料,神奈川県川崎市,232,133,22,857,0.1,false,true,1700,300,0,0,65
X08-737,書籍,神奈川県川崎市,315,245,105,377,1.7,false,true,100,200,0,0,66
XM02-890,家具,東京都新宿区,232,133,22,905,0.1,false,true,500,200,0,0,67
XY05-517,玩具,東京都港区,250,180,120,529,0.8,false,true,1300,200,0,0,68
XM02-559,書籍,大阪府大阪市,232,133,22,889,0.1,false,true,200,0,0,0,69
X08-882,食品,埼玉県さいたま市,315,245,105,285,2.7,false,true,900,0,0,0,70
XM02-258,飲料,大阪府大阪市,232,133,22,768,0.2,false,false,1300,0,0,0,71
XY05-891,工具,愛知県名古屋市,250,180,120,439,1.4,false,true,1600,0,0,0,72
XM01-344,衣類,東京都品川区,286,213,24,601,0.5,false,true,1100,4100,100,0,73
XM02-783,日用品,東京都目黒区,232,133,22,897,0.1,false,true,1700,4100,100,0,74
X08-850,玩具,東京都品川区,315,245,105,330,2.1,false,true,400,3900,100,0,75
XM02-824,スポーツ用品,神奈川県横浜市,232,133,22,837,0.2,false,true,1000,3900,100,0,76
XM02-591,日用品,神奈川県川崎市,232,133,22,890,0.1,false,true,900,3700,100,0,77
X08-696,雑貨,北海道札幌市,315,245,105,279,2.8,false,true,1400,3700,100,0,78
XY13-202,日用品,東京都品川区,330,255,30,523,0.8,false,false,500,3600,100,0,79
XM02-156,ペット用品,千葉県千葉市,232,133,22,868,0.1,false,true,1500,3500,100,0,80
XM02-388,書籍,千葉県千葉市,232,133,22,878,0.1,false,true,800,3400,100,0,81
XM01-678,家具,大阪府大阪市,286,213,24,731,0.3,false,true,200,3300,100,0,82
XY05-200,家具,福岡県福岡市,250,180,120,966,1,true,true,700,3200,100,0,83
XM01-988,書籍,神奈川県横浜市,286,213,24,697,0.4,false,true,1100,3200,100,0,84
XM02-972,雑貨,東京都目黒区,232,133,22,854,0.2,false,true,1700,3200,100,0,85
XY05-620,書籍,東京都渋谷区,250,180,120,465,1.2,false,true,200,3100,100,0,86
XM02-093,雑貨,神奈川県横浜市,232,133,22,864,0.1,false,true,1400,3100,100,0,87
XY05-767,日用品,大阪府大阪市,250,180,120,348,1.9,false,true,500,3000,100,0,88
XM01-170,衣類,東京都新宿区,286,213,24,650,0.4,false,false,1700,2900,100,0,89
XM01-703,電化製品,千葉県千葉市,286,213,24,682,0.4,false,true,900,2800,100,0,90
XY13-927,文具,東京都港区,330,255,30,991,0.4,true,true,500,2700,100,0,91
XM01-428,飲料,東京都渋谷区,286,213,24,719,0.3,false,true,1700,2600,100,0,92
XM02-102,スポーツ用品,東京都新宿区,232,133,22,865,0.1,false,true,1000,2500,100,0,93
XM02-847,電化製品,東京都目黒区,232,133,22,841,0.2,false,true,1400,2500,100,0,94
XM02-034,ペット用品,東京都新宿区,232,133,22,860,0.1,false,true,100,2400,100,0,95
XY05-558,医薬品,埼玉県さいたま市,250,180,120,510,0.9,false,true,400,2400,100,0,96
XM02-493,ペット用品,神奈川県川崎市,232,133,22,999,0.2,true,true,1700,2400,100,0,97
X08-759,文具,東京都目黒区,315,245,105,323,2.2,false,true,200,2100,100,0,98
XY13-368,食品,神奈川県川崎市,330,255,30,604,0.5,false,false,1300,2100,100,0,99
XY05-395,化粧品,神奈川県川崎市,250,180,120,964,1.1,true,true,0,1900,100,0,100
XM01-744,雑貨,東京都品川区,286,213,24,824,0.2,false,true,400,1800,100,0,101
XM02-775,食品,神奈川県横浜市,232,133,22,829,0.2,false,true,700,1800,100,0,102
XY13-926,文具,東京都港区,330,255,30,566,0.7,false,true,1600,1800,100,0,103
XY05-043,スポーツ用品,福岡県福岡市,250,180,120,485,1,false,true,0,1700,100,0,104
XM02-817,化粧品,福岡県福岡市,232,133,22,901,0.1,false,true,200,1500,100,0,105
XY05-526,書籍,神奈川県横浜市,250,180,120,394,1.6,false,true,700,1400,100,0,106
XY13-693,日用品,東京都港区,330,255,30,513,0.9,false,true,0,1200,100,0,107
XY05-158,工具,東京都品川区,250,180,120,421,1.4,false,true,400,1200,100,0,108
XM02-446,化粧品,東京都品川区,232,133,22,882,0.1,false,true,1000,1200,100,0,109
XM01-500,食品,東京都品川区,286,213,24,613,0.5,false,false,1700,1200,100,0,110
XY05-736,文具,北海道札幌市,250,180,120,965,1.1,true,true,700,1100,100,0,111
XY05-818,日用品,千葉県千葉市,250,180,120,456,1.3,false,true,700,900,100,0,112
XY13-119,日用品,千葉県千葉市,330,255,30,594,0.5,false,true,1000,800,100,0,113
XM01-565,化粧品,大阪府大阪市,286,213,24,615,0.5,false,true,1600,700,100,0,114
X11-273,書籍,愛知県名古屋市,405,305,255,941,5.4,true,true,100,600,100,0,115
XM02-625,ペット用品,東京都品川区,232,133,22,811,0.2,false,true,700,600,100,0,116
XM02-269,家具,東京都渋谷区,232,133,22,769,0.2,false,true,900,400,100,0,117
XM01-729,家具,東京都目黒区,286,213,24,629,0.5,false,false,1200,400,100,0,118
XY13-685,食品,東京都新宿区,330,255,30,988,0.4,true,false,1600,400,100,0,119
XM01-922,飲料,東京都新宿区,286,213,24,738,0.3,false,true,600,300,100,0,120
XM02-219,医薬品,神奈川県横浜市,232,133,22,761,0.2,false,true,200,0,100,0,121
XM01-348,衣類,千葉県千葉市,286,213,24,660,0.4,false,true,500,0,100,0,122
XY05-585,スポーツ用品,福岡県福岡市,250,180,120,454,1.3,false,true,1500,4200,200,0,123
X08-083,工具,北海道札幌市,315,245,105,353,1.8,false,true,0,4100,200,0,124
XY13-563,飲料,東京都渋谷区,330,255,30,576,0.6,false,true,800,4100,200,0,125
XM01-070,家具,東京都港区,286,213,24,700,0.3,false,true,1200,4000,200,0,126
XY05-230,医薬品,大阪府大阪市,250,180,120,449,1.3,false,true,1500,4000,200,0,127
XM02-948,工具,埼玉県さいたま市,232,133,22,906,0.1,false,true,0,3900,200,0,128
XY05-765,化粧品,神奈川県川崎市,250,180,120,403,1.6,false,true,800,3800,200,0,129
XM02-362,医薬品,北海道札幌市,232,133,22,778,0.2,false,true,1100,3800,200,0,130
XY05-424,医薬品,神奈川県川崎市,250,180,120,430,1.4,false,false,0,3700,200,0,131
XY13-621,衣類,愛知県名古屋市,330,255,30,579,0.6,false,true,300,3600,200,0,132
X08-418,ペット用品,東京都港区,315,245,105,320,2.2,false,true,800,3400,200,0,133
XM01-288,日用品,埼玉県さいたま市,286,213,24,598,0.5,false,true,1300,3400,200,0,134
XM02-201,ペット用品,東京都品川区,232,133,22,870,0.1,false,true,0,3300,200,0,135
XM01-363,雑貨,福岡県福岡市,286,213,24,603,0.5,false,true,300,3300,200,0,136
X08-978,雑貨,埼玉県さいたま市,315,245,105,443,1.4,false,true,1600,3300,200,0,137
XM02-932,日用品,東京都目黒区,232,133,22,1002,0.2,true,true,1600,3100,200,0,138
XY13-406,食品,東京都港区,330,255,30,556,0.7,false,true,1100,3000,200,0,139
XM01-720,電化製品,東京都渋谷区,286,213,24,628,0.5,false,true,100,2800,200,0,140
XY05-196,文具,福岡県福岡市,250,180,120,422,1.4,false,true,500,2800,200,0,141
XY05-347,食品,東京都新宿区,250,180,120,426,1.4,false,true,1500,2800,200,0,142
XM02-072,化粧品,千葉県千葉市,232,133,22,749,0.2,false,true,400,2600,200,0,143
XM01-319,文具,東京都渋谷区,286,213,24,599,0.5,false,true,1100,2600,200,0,144
XM01-205,玩具,東京都新宿区,286,213,24,652,0.4,false,false,100,2500,200,0,145
XY13-295,玩具,東京都品川区,330,255,30,552,0.7,false,false,700,2500,200,0,146
XY13-664,飲料,福岡県福岡市,330,255,30,679,0.4,false,true,1500,2400,200,0,147
XM02-244,食品,愛知県名古屋市,232,133,22,767,0.2,false,true,1200,2300,200,0,148
XM02-506,衣類,大阪府大阪市,232,133,22,802,0.2,false,true,1600,2200,200,0,149
XM02-796,工具,東京都港区,232,133,22,898,0.1,false,false,1400,2000,200,0,150
XM02-837,医薬品,東京都新宿区,232,133,22,902,0.1,false,true,1000,1900,200,0,151
X08-455,雑貨,東京都新宿区,315,245,105,332,2,false,true,400,1800,200,0,152
XM01-577,玩具,福岡県福岡市,286,213,24,676,0.4,false,true,900,1600,200,0,153
XM01-345,電化製品,埼玉県さいたま市,286,213,24,714,0.3,false,true,400,1500,200,0,154
XM01-481,医薬品,大阪府大阪市,286,213,24,672,0.4,false,true,1700,1400,200,0,155
XM01-488,医薬品,東京都新宿区,286,213,24,610,0.5,false,true,0,1200,200,0,156
XM02-355,玩具,福岡県福岡市,232,133,22,777,0.2,false,true,1000,1100,200,0,157
XY13-622,ペット用品,東京都新宿区,330,255,30,532,0.8,false,true,1300,1100,200,0,158
XM01-484,衣類,東京都新宿区,286,213,24,722,0.3,false,true,1700,1100,200,0,159
XM02-209,日用品,東京都新宿区,232,133,22,998,0.2,true,true,1000,800,200,0,160
XY13-700,ペット用品,大阪府大阪市,330,255,30,625,0.5,false,true,1300,800,200,0,161
XM01-246,玩具,福岡県福岡市,286,213,24,655,0.4,false,true,1700,800,200,0,162
XY05-101,工具,東京都渋谷区,250,180,120,420,1.4,false,true,600,700,200,0,163
XM02-643,玩具,千葉県千葉市,232,133,22,894,0.1,false,true,1700,600,200,0,164
XM02-697,文具,東京都渋谷区,232,133,22,821,0.2,false,false,100,400,200,0,165
XY13-356,工具,東京都渋谷区,330,255,30,661,0.4,false,true,800,400,200,0,166
X08-900,ペット用品,東京都港区,315,245,105,303,2.5,false,true,1300,400,200,0,167
XM02-505,玩具,愛知県名古屋市,232,133,22,801,0.2,false,true,1700,400,200,0,168
XY13-795,医薬品,神奈川県川崎市,330,255,30,631,0.5,false,true,400,300,200,0,169
XY05-162,食品,東京都品川区,250,180,120,503,0.9,false,true,0,200,200,0,170
XM02-504,玩具,愛知県名古屋市,232,133,22,800,0.2,false,false,700,100,200,0,171
XM01-755,工具,埼玉県さいたま市,286,213,24,732,0.3,false,true,1000,100,200,0,172
XM01-785,医薬品,福岡県福岡市,286,213,24,734,0.3,false,true,1700,100,200,0,173
XM02-575,文具,神奈川県川崎市,232,133,22,808,0.2,false,true,300,0,200,0,174
X08-186,ペット用品,福岡県福岡市,315,245,105,316,2.2,false,true,1300,0,200,0,175
XM02-371,文具,東京都品川区,232,133,22,779,0.2,false,true,1200,4200,300,0,176
X08-1004,医薬品,東京都品川区,315,245,105,309,2.4,false,false,400,4100,300,0,177
XM02-834,家具,東京都新宿区,232,133,22,838,0.2,false,false,1000,4000,300,0,178
XY05-342,衣類,埼玉県さいたま市,250,180,120,425,1.4,false,true,200,3900,300,0,179
XM01-474,雑貨,千葉県千葉市,286,213,24,609,0.5,false,true,500,3800,300,0,180
XM01-341,化粧品,北海道札幌市,286,213,24,712,0.3,false,true,1200,3600,300,0,181
XY13-473,医薬品,神奈川県川崎市,330,255,30,977,0.6,true,true,1600,3600,300,0,182
XY13-754,化粧品,北海道札幌市,330,255,30,583,0.6,false,true,400,3500,300,0,183
XY13-402,飲料,東京都港区,330,255,30,971,0.8,true,true,0,3400,300,0,184
XM02-885,書籍,東京都品川区,232,133,22,904,0.1,false,true,1200,3400,300,0,185
XY13-015,電化製品,愛知県名古屋市,330,255,30,589,0.5,false,true,200,3100,300,0,186
X08-228,衣類,東京都目黒区,315,245,105,942,2.6,true,true,900,3100,300,0,187
XM01-596,ペット用品,東京都港区,286,213,24,997,0.3,true,true,600,3000,300,0,188
X08-518,スポーツ用品,東京都渋谷区,315,245,105,281,2.7,false,true,1300,3000,300,0,189
XY05-520,医薬品,福岡県福岡市,250,180,120,968,0.9,true,true,1700,3000,300,0,190
XY13-340,日用品,千葉県千葉市,330,255,30,976,0.6,true,true,0,2800,300,0,191
XM02-492,ペット用品,東京都港区,232,133,22,798,0.2,false,true,1000,2800,300,0,192
XM02-442,スポーツ用品,東京都渋谷区,232,133,22,789,0.2,false,true,900,2600,300,0,193
XY13-714,雑貨,北海道札幌市,330,255,30,561,0.7,false,true,0,2500,300,0,194
XM01-667,文具,愛知県名古屋市,286,213,24,987,0.4,true,true,500,2500,300,0,195
XM02-634,化粧品,愛知県名古屋市,232,133,22,813,0.2,false,true,1200,2400,300,0,196
XM02-408,スポーツ用品,東京都目黒区,232,133,22,879,0.1,false,true,100,2300,300,0,197
XM02-502,雑貨,埼玉県さいたま市,232,133,22,799,0.2,false,true,500,2300,300,0,198
XY13-059,食品,北海道札幌市,330,255,30,546,0.7,false,true,800,2300,300,0,199
X12-287,飲料,東京都渋谷区,485,325,295,45,12.8,false,true,1500,2300,300,0,200
XY05-933,書籍,北海道札幌市,250,180,120,516,0.9,false,true,1200,2200,300,0,201
XY05-240,化粧品,神奈川県川崎市,250,180,120,423,1.4,false,true,500,2100,300,0,202
XY05-1000,食品,東京都品川区,250,180,120,953,1.6,true,true,900,2100,300,0,203
XY13-272,雑貨,福岡県福岡市,330,255,30,597,0.5,false,true,0,2000,300,0,204
XY13-478,家具,大阪府大阪市,330,255,30,671,0.4,false,true,1500,2000,300,0,205
XY05-251,玩具,千葉県千葉市,250,180,120,505,0.9,false,false,0,1800,300,0,206
XY13-009,飲料,東京都新宿区,330,255,30,588,0.5,false,true,900,1700,300,0,207
XY13-987,飲料,大阪府大阪市,330,255,30,587,0.6,false,true,1600,1700,300,0,208
XM02-603,電化製品,神奈川県川崎市,232,133,22,892,0.1,false,true,100,1600,300,0,209
XM02-515,雑貨,千葉県千葉市,232,133,22,885,0.1,false,false,1300,1500,300,0,210
XM01-521,衣類,千葉県千葉市,286,213,24,724,0.3,false,true,700,1400,300,0,211
XM01-862,玩具,千葉県千葉市,286,213,24,690,0.4,false,true,1000,1200,300,0,212
XY13-830,雑貨,愛知県名古屋市,330,255,30,687,0.4,false,true,1400,1200,300,0,213
X11-203,食品,神奈川県川崎市,405,305,255,264,4.9,false,true,200,1100,300,0,214
XM01-954,ペット用品,東京都港区,286,213,24,984,0.5,true,true,700,1100,300,0,215
XY05-921,医薬品,東京都新宿区,250,180,120,492,1,false,false,800,900,300,0,216
XM01-650,飲料,神奈川県川崎市,286,213,24,621,0.5,false,false,1700,900,300,0,217
XM01-968,電化製品,福岡県福岡市,286,213,24,741,0.3,false,true,1200,700,300,0,218
XY05-985,医薬品,福岡県福岡市,250,180,120,952,1.6,true,true,1500,700,300,0,219
XM02-931,家具,愛知県名古屋市,232,133,22,848,0.2,false,true,0,400,300,0,220
XY13-385,日用品,東京都品川区,330,255,30,663,0.4,false,true,900,400,300,0,221
XM01-360,文具,東京都新宿区,286,213,24,602,0.5,false,true,1700,400,300,0,222
X08-907,衣類,東京都渋谷区,315,245,105,951,1.6,true,false,300,300,300,0,223
XY05-378,玩具,神奈川県川崎市,250,180,120,369,1.7,false,false,300,100,300,0,224
XM02-003,衣類,北海道札幌市,232,133,22,745,0.2,false,true,700,100,300,0,225
XM01-169,食品,大阪府大阪市,286,213,24,986,0.4,true,false,1000,100,300,0,226
XM02-768,飲料,東京都港区,232,133,22,827,0.2,false,true,1700,100,300,0,227
XY13-046,化粧品,北海道札幌市,330,255,30,979,0.5,true,true,0,4100,400,0,228
XM01-292,雑貨,東京都港区,286,213,24,710,0.3,false,false,1000,4100,400,0,229
XM01-1007,衣類,大阪府大阪市,286,213,24,637,0.5,false,true,1500,4000,400,0,230
XM02-106,玩具,大阪府大阪市,232,133,22,866,0.1,false,true,1000,3900,400,0,231
XY13-315,工具,北海道札幌市,330,255,30,554,0.7,false,true,200,3600,400,0,232
XM01-489,化粧品,福岡県福岡市,286,213,24,611,0.5,false,true,600,3600,400,0,233
X12-426,日用品,千葉県千葉市,485,325,295,134,9.4,false,false,900,3500,400,0,234
X12-859,家具,埼玉県さいたま市,485,325,295,912,12.3,true,true,1500,3500,400,0,235
XM02-308,書籍,東京都渋谷区,232,133,22,876,0.1,false,true,1300,3300,400,0,236
X08-025,飲料,福岡県福岡市,315,245,105,338,1.9,false,true,0,3200,400,0,237
X08-674,食品,北海道札幌市,315,245,105,363,1.8,false,true,500,3200,400,0,238
XM02-763,電化製品,東京都港区,232,133,22,825,0.2,false,true,1700,3200,400,0,239
XY05-401,ペット用品,愛知県名古屋市,250,180,120,488,1,false,true,0,3000,400,0,240
X08-306,電化製品,神奈川県川崎市,315,245,105,311,2.3,false,true,400,2900,400,0,241
XM02-088,玩具,東京都渋谷区,232,133,22,750,0.2,false,true,100,2800,400,0,242
XM01-654,雑貨,東京都目黒区,286,213,24,816,0.2,false,true,900,2700,400,0,243
XY05-332,家具,神奈川県横浜市,250,180,120,475,1.1,false,true,1300,2700,400,0,244
XM01-267,ペット用品,東京都目黒区,286,213,24,596,0.5,false,true,1700,2700,400,0,245
XM02-330,飲料,神奈川県川崎市,232,133,22,775,0.2,false,true,300,2600,400,0,246
XY05-320,書籍,東京都港区,250,180,120,389,1.6,false,true,600,2600,400,0,247
XM01-204,玩具,東京都目黒区,286,213,24,705,0.3,false,true,0,2500,400,0,248
XY05-441,化粧品,大阪府大阪市,250,180,120,392,1.6,false,true,600,2400,400,0,249
X08-537,家具,神奈川県川崎市,315,245,105,452,1.3,false,true,1100,2400,400,0,250
XY13-546,玩具,東京都目黒区,330,255,30,614,0.5,false,true,0,2100,400,0,251
XY05-268,電化製品,千葉県千葉市,250,180,120,506,0.9,false,true,900,1900,400,0,252
XY13-127,食品,東京都渋谷区,330,255,30,501,0.9,false,true,1400,1900,400,0,253
X11-372,雑貨,東京都目黒区,405,305,255,162,8.6,false,false,300,1700,400,0,254
XY05-1002,スポーツ用品,大阪府大阪市,250,180,120,495,1,false,true,1700,1700,400,0,255
XY05-149,スポーツ用品,神奈川県川崎市,250,180,120,502,0.9,false,true,1400,1600,400,0,256
XM02-904,書籍,北海道札幌市,232,133,22,846,0.2,false,true,200,1500,400,0,257
XM02-413,電化製品,千葉県千葉市,232,133,22,784,0.2,false,true,500,1500,400,0,258
XM01-578,衣類,北海道札幌市,286,213,24,809,0.2,false,true,800,1500,400,0,259
XM02-839,食品,神奈川県横浜市,232,133,22,903,0.1,false,true,1100,1400,400,0,260
XY13-983,工具,神奈川県横浜市,330,255,30,586,0.6,false,true,1400,1300,400,0,261
X08-627,家具,東京都港区,315,245,105,334,2,false,true,700,1100,400,0,262
XM01-370,文具,東京都渋谷区,286,213,24,994,0.3,true,true,1200,1000,400,0,263
XY05-593,化粧品,福岡県福岡市,250,180,120,397,1.6,false,true,200,900,400,0,264
X11-893,雑貨,東京都目黒区,405,305,255,936,7.3,true,true,1500,900,400,0,265
XM01-081,玩具,東京都港区,286,213,24,985,0.4,true,true,500,800,400,0,266
XM02-619,工具,愛知県名古屋市,232,133,22,810,0.2,false,true,1200,700,400,0,267
X08-832,工具,埼玉県さいたま市,315,245,105,295,2.6,false,true,100,600,400,0,268
XM02-552,日用品,神奈川県横浜市,232,133,22,887,0.1,false,true,800,600,400,0,269
XM01-690,化粧品,千葉県千葉市,286,213,24,624,0.5,false,true,1300,400,400,0,270
XM01-840,工具,東京都新宿区,286,213,24,839,0.2,false,true,1600,400,400,0,271
XM01-600,日用品,福岡県福岡市,286,213,24,617,0.5,false,true,0,200,400,0,272
XM01-702,雑貨,東京都品川区,286,213,24,681,0.4,false,true,700,200,400,0,273
X08-002,家具,東京都港区,315,245,105,314,2.2,false,false,1000,100,400,0,274
X08-943,医薬品,大阪府大阪市,315,245,105,458,1.3,false,true,1400,100,400,0,275
XY05-994,日用品,福岡県福岡市,250,180,120,382,1.7,false,true,200,4100,500,0,276
XM01-458,電化製品,福岡県福岡市,286,213,24,668,0.4,false,true,700,4000,500,0,277
X11-237,衣類,東京都品川区,405,305,255,940,5.5,true,true,1000,4000,500,0,278
X11-262,工具,千葉県千葉市,405,305,255,937,6.5,true,true,1500,3900,500,0,279
XM01-155,玩具,東京都渋谷区,286,213,24,649,0.4,false,true,400,3800,500,0,280
X08-701,化粧品,福岡県福岡市,315,245,105,283,2.7,false,true,0,3700,500,0,281
XM02-050,雑貨,神奈川県川崎市,232,133,22,747,0.2,false,true,400,3600,500,0,282
XM02-468,工具,千葉県千葉市,232,133,22,792,0.2,false,true,1700,3300,500,0,283
XM01-058,文具,埼玉県さいたま市,286,213,24,642,0.4,false,true,900,3200,500,0,284
XY05-134,スポーツ用品,愛知県名古屋市,250,180,120,408,1.5,false,true,1700,3100,500,0,285
X11-487,工具,東京都港区,405,305,255,930,7.6,true,true,1200,3000,500,0,286
XM01-107,電化製品,東京都目黒区,286,213,24,646,0.4,false,true,900,2900,500,0,287
XM02-309,家具,東京都渋谷区,232,133,22,773,0.2,false,true,1000,2700,500,0,288
XY13-906,飲料,千葉県千葉市,330,255,30,633,0.5,false,true,1600,2700,500,0,289
X08-084,工具,福岡県福岡市,315,245,105,306,2.4,false,true,100,2600,500,0,290
X08-104,日用品,千葉県千葉市,315,245,105,298,2.5,false,true,0,2300,500,0,291
XY05-788,医薬品,神奈川県川崎市,250,180,120,381,1.7,false,true,100,2100,500,0,292
XY13-464,玩具,神奈川県横浜市,330,255,30,527,0.8,false,true,700,2100,500,0,293
XY13-079,書籍,大阪府大阪市,330,255,30,547,0.7,false,true,1100,2100,500,0,294
X08-528,ペット用品,東京都品川区,315,245,105,328,2.1,false,true,1600,2000,500,0,295
XM01-782,スポーツ用品,埼玉県さいたま市,286,213,24,686,0.4,false,false,1200,1800,500,0,296
XM02-041,飲料,東京都目黒区,232,133,22,861,0.1,false,true,0,1700,500,0,297
XM02-799,文具,千葉県千葉市,232,133,22,899,0.1,false,true,900,1700,500,0,298
XM02-110,医薬品,北海道札幌市,232,133,22,867,0.1,false,true,200,1500,500,0,299
XY05-387,工具,福岡県福岡市,250,180,120,957,1.4,true,true,600,1500,500,0,300
XM01-779,医薬品,東京都品川区,286,213,24,832,0.2,false,true,1000,1400,500,0,301
